metasploit,វាគឺជា Framework ដ៏ពេញនិយមសម្រាប់សាកល្បងចូលប្រព័ន្ធ (Penetration Testing) និងទាញយកប្រយោជន៍ពីចន្លោះប្រហោង (Exploit)។
wireshark,ឧបករណ៍វិភាគ Network Protocol ដែលអនុញ្ញាតឱ្យអ្នកមើលឃើញរាល់ចរាចរណ៍ទិន្នន័យ (Packet) ក្នុងបណ្តាញ។
brute force,ការវាយប្រហារដោយព្យាយាមទាយពាក្យសម្ងាត់គ្រប់លទ្ធភាពទាំងអស់រហូតដល់ត្រូវ។
phishing,ការបោកបញ្ឆោតតាមរយៈ Email ឬ Website ក្លែងក្លាយដើម្បីលួចយកព័ត៌មានផ្ទាល់ខ្លួន ឬពាក្យសម្ងាត់។
firewall,ប្រព័ន្ធការពារដែលត្រួតពិនិត្យ និងគ្រប់គ្រងចរាចរណ៍បណ្តាញ (Incoming/Outgoing) ផ្អែកលើច្បាប់សន្តិសុខ។
kali linux,ប្រព័ន្ធប្រតិបត្តិការ Linux ដែលត្រូវបានរចនាឡើងសម្រាប់ Cybersecurity ស្រាវជ្រាវសន្តិសុខ និង Pentesting។
ransomware,មេរោគដែលធ្វើការចាក់សោរ (Encrypt) ឯកសាររបស់អ្នក ហើយទាមទារប្រាក់លោះដើម្បីដោះសោរវិញ។
zero day,ចន្លោះប្រហោងសុវត្ថិភាពដែលទើបតែត្រូវបានរកឃើញ ហើយមិនទាន់មានការជួសជុល (Patch) នៅឡើយ។
vpn,បណ្តាញឯកជននិម្មិតដែលជួយបិទបាំង IP Address និងធ្វើឱ្យការតភ្ជាប់អ៊ីនធើណេតរបស់អ្នកមានសុវត្ថិភាព។
ddos,ការវាយប្រហារដែលធ្វើឱ្យ Server ឬ Website គាំងដោយសារការបញ្ជូនចរាចរណ៍ទិន្នន័យច្រើនលើសលប់ក្នុងពេលតែមួយ។
burp suite,ឧបករណ៍សម្រាប់តេស្តសន្តិសុខ Web Application ដែលពេញនិយមបំផុតសម្រាប់ Bug Bounty Hunters។
